Time,Total_I,Cell_E,Base_E,Group_E,"I_(1,1)","I_(2,1)","I_(3,1)","I_(1,2)","I_(2,2)","I_(3,2)","I_(1,3)","I_(2,3)","I_(3,3)"
0.0,2.1362e-08,-0.66193,-0.66193,0.0,-9.5967e-07,4.7984e-06,-3.7427e-05,4.7984e-07,-4.7984e-07,-2.1593e-05,-2.4951e-05,5.1342e-05,3.2149e-05
0.504,-2.1362e-08,-0.66254,-0.66254,0.0,0.0,6.2379e-06,-3.6947e-05,0.0,-4.7984e-06,-2.3992e-05,-2.4472e-05,5.1822e-05,2.879e-05
1.0,-3.0518e-09,-0.66223,-0.66223,0.0,-4.7984e-07,5.758e-06,-3.6468e-05,-9.5967e-07,-5.2782e-06,-2.1113e-05,-2.5431e-05,5.2302e-05,3.1189e-05
1.504,-8.8501e-08,-0.66193,-0.66193,0.0,-9.5967e-07,1.9193e-06,-3.7907e-05,0.0,-7.1975e-06,-2.2072e-05,-2.5431e-05,4.8943e-05,2.879e-05
2.0,-1.1902e-07,-0.66162,-0.66162,0.0,-9.5967e-07,0.0,-3.7427e-05,4.7984e-07,-8.1572e-06,-2.1593e-05,-3.023e-05,4.8943e-05,3.023e-05
2.505,-1.4648e-07,-0.66162,-0.66162,0.0,-4.7984e-07,0.0,-3.5508e-05,0.0,-9.1169e-06,-2.2552e-05,-3.3109e-05,4.8463e-05,2.927e-05
3.001,-1.8616e-07,-0.66101,-0.66101,0.0,-9.5967e-07,-1.4395e-06,-3.4548e-05,-3.3589e-06,-9.5967e-06,-2.1593e-05,-3.5028e-05,4.8943e-05,2.831e-05
3.504,-2.0447e-07,-0.66162,-0.66162,0.0,-1.9193e-06,-1.9193e-06,-3.3589e-05,-4.3185e-06,-9.5967e-06,-2.1113e-05,-3.6468e-05,4.9423e-05,2.7351e-05
4.002,-2.0447e-07,-0.66162,-0.66162,0.0,-3.3589e-06,-2.879e-06,-2.927e-05,-7.6774e-06,-1.0077e-05,-2.1113e-05,-3.6947e-05,5.2302e-05,2.6871e-05
4.506,-1.8616e-07,-0.66132,-0.66132,0.0,-3.8387e-06,-4.7984e-06,-2.927e-05,-8.6371e-06,-1.1516e-05,-1.7274e-05,-3.7907e-05,5.4221e-05,2.975e-05
5.002,-1.2817e-07,-0.66162,-0.66162,0.0,-3.8387e-06,-4.7984e-06,-2.6871e-05,-1.0077e-05,-8.1572e-06,-1.5355e-05,-3.9347e-05,5.6621e-05,3.1669e-05
5.502,-4.5776e-08,-0.66162,-0.66162,0.0,-4.3185e-06,0.0,-2.3992e-05,-1.1036e-05,-6.7177e-06,-1.4395e-05,-3.7427e-05,5.854e-05,3.2149e-05
6.006,-6.1035e-09,-0.66132,-0.66132,0.0,-3.3589e-06,1.9193e-06,-2.3512e-05,-1.0556e-05,-5.758e-06,-1.5835e-05,-3.3109e-05,5.854e-05,3.071e-05
6.501,-3.0518e-09,-0.66101,-0.66101,0.0,-3.8387e-06,1.4395e-06,-2.4472e-05,-8.6371e-06,-6.2379e-06,-1.4875e-05,-3.3589e-05,5.806e-05,3.1669e-05
7.005,2.1362e-08,-0.66132,-0.66132,0.0,-2.879e-06,2.879e-06,-2.3992e-05,-7.1975e-06,-6.2379e-06,-1.5355e-05,-3.2629e-05,5.806e-05,3.071e-05
7.501,5.7983e-08,-0.66071,-0.66071,0.0,-2.3992e-06,3.3589e-06,-2.3992e-05,-5.758e-06,-5.758e-06,-1.2956e-05,-3.2149e-05,5.902e-05,2.975e-05
8.005,6.7139e-08,-0.66101,-0.66101,0.0,-2.3992e-06,4.3185e-06,-2.2552e-05,-4.3185e-06,-5.758e-06,-1.4395e-05,-3.071e-05,5.854e-05,2.783e-05
8.501,1.1292e-07,-0.66132,-0.66132,0.0,-1.9193e-06,4.7984e-06,-2.2072e-05,-2.3992e-06,-5.758e-06,-1.2956e-05,-2.927e-05,5.95e-05,2.783e-05
9.006,1.2512e-07,-0.66071,-0.66071,0.0,-1.9193e-06,4.3185e-06,-2.1113e-05,-2.879e-06,-4.7984e-06,-1.2476e-05,-2.831e-05,5.998e-05,2.6871e-05
9.502,1.4648e-07,-0.6604,-0.6604,0.0,-1.9193e-06,5.758e-06,-1.9193e-05,-1.9193e-06,-3.8387e-06,-1.2956e-05,-2.7351e-05,6.0939e-05,2.3512e-05
10.006,9.7656e-08,-0.66071,-0.66071,0.0,-9.5967e-07,6.2379e-06,-1.9193e-05,-2.3992e-06,-4.3185e-06,-1.8234e-05,-2.6871e-05,6.0459e-05,2.0633e-05
10.502,8.2397e-08,-0.66101,-0.66101,0.0,-9.5967e-07,6.7177e-06,-2.3512e-05,-4.7984e-07,-4.7984e-06,-2.0153e-05,-2.4951e-05,6.2379e-05,1.8714e-05
